Field	Type	Null	Key	Default	Extra
id	int(10) unsigned	NO	PRI	NULL	auto_increment
code	varchar(20)	NO	UNI	NULL	
name	varchar(255)	NO	MUL	NULL	
contact_person	varchar(100)	YES		NULL	
email	varchar(100)	YES		NULL	
phone	varchar(20)	YES		NULL	
address	varchar(500)	YES		NULL	
city	varchar(100)	YES		NULL	
country	varchar(100)	YES		Vietnam	
tax_id	varchar(50)	YES		NULL	
payment_terms	int(11)	YES		NULL	
bank_name	varchar(100)	YES		NULL	
bank_account	varchar(50)	YES		NULL	
status	enum('active','inactive','blacklisted')	NO	MUL	active	
notes	text	YES		NULL	
created_by	int(10) unsigned	YES	MUL	NULL	
created_at	timestamp	NO		current_timestamp()	
updated_at	timestamp	NO		current_timestamp()	on update current_timestamp()
deleted_at	timestamp	YES	MUL	NULL	
